waypoint number       time [s]              PosX [mm]             PosY [mm]             PosZ [mm]             Roll [degrees]        Pitch [degrees]       Yaw [degrees]         Cycle time [ms]       
0                     0.010000952471663969   0.15719063545150502   0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663968    
1                     0.020001904943327934   0.31438127090301005   0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
2                     0.030002857414991906   0.47157190635451507   0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663972    
3                     0.040003809886655875   0.6287625418060201    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663968    
4                     0.05000476235831984   0.7859531772575251    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
5                     0.060005714829983806   0.9431438127090301    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
6                     0.07000666730164778   1.100334448160535     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663979    
7                     0.08000761977331175   1.2575250836120402    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
8                     0.09000857224497572   1.4147157190635453    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
9                     0.10000952471663968   1.5719063545150502    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
10                    0.11001047718830365   1.7290969899665551    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
11                    0.12001142965996761   1.8862876254180603    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
12                    0.13001238213163158   2.0434782608695654    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
13                    0.14001333460329554   2.20066889632107      0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
14                    0.15001428707495953   2.3578595317725752    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
15                    0.1600152395466235    2.5150501672240804    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
16                    0.17001619201828747   2.6722408026755855    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
17                    0.18001714448995143   2.8294314381270906    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
18                    0.1900180969616154    2.9866220735785953    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
19                    0.20001904943327936   3.1438127090301005    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
20                    0.21002000190494333   3.3010033444816056    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
21                    0.2200209543766073    3.4581939799331103    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
22                    0.23002190684827126   3.6153846153846154    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663965    
23                    0.24002285931993525   3.7725752508361206    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
24                    0.25002381179159916   3.9297658862876257    0.0                   0.0                   0.0                   0.0                   0.0                   10.00095247166391     
25                    0.26002476426326315   4.086956521739131     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
26                    0.2700257167349271    4.2441471571906355    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663938    
27                    0.2800266692065911    4.40133779264214      0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
28                    0.290027621678255     4.558528428093646     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663938    
29                    0.300028574149919     4.7157190635451505    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
30                    0.310029526621583     4.872909698996656     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
31                    0.32003047909324694   5.030100334448161     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663938    
32                    0.33003143156491094   5.187290969899665     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
33                    0.3400323840365749    5.344481605351171     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663938    
34                    0.35003333650823887   5.501672240802676     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
35                    0.3600342889799028    5.658862876254181     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663938    
36                    0.3700352414515668    5.816053511705686     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
37                    0.38003619392323074   5.973244147157191     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663938    
38                    0.39003714639489473   6.130434782608696     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
39                    0.4000380988665587    6.287625418060201     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
40                    0.41003905133822266   6.444816053511706     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663938    
41                    0.42004000380988665   6.602006688963211     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
42                    0.4300409562815506    6.759197324414716     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663938    
43                    0.4400419087532146    6.916387959866221     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
44                    0.4500428612248785    7.073578595317726     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663938    
45                    0.4600438136965425    7.230769230769231     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
46                    0.47004476616820645   7.387959866220736     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663938    
47                    0.48004571863987044   7.545150501672241     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
48                    0.49004667111153444   7.702341137123746     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
49                    0.5000476235831983    7.859531772575251     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663883    
50                    0.5100485760548623    8.016722408026757     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
51                    0.5200495285265263    8.173913043478262     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
52                    0.5300504809981903    8.331103678929766     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
53                    0.5400514334698543    8.488294314381271     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
54                    0.5500523859415182    8.645484949832776     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663883    
55                    0.5600533384131822    8.80267558528428      0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
56                    0.5700542908848462    8.959866220735787     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
57                    0.5800552433565102    9.117056856187292     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
58                    0.590056195828174     9.274247491638796     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663883    
